#At time x allocated y bytes for process z from i to j
At time 1 allocated 100 bytes for process 1 from 0 to 127
At time 26 freed 100 bytes for process 1 from 0 to 127
At time 26 allocated 200 bytes for process 2 from 0 to 255
At time 26 allocated 30 bytes for process 3 from 256 to 287
At time 26 allocated 15 bytes for process 4 from 288 to 303
At time 47 freed 15 bytes for process 4 from 288 to 303
At time 47 allocated 64 bytes for process 5 from 320 to 383
At time 47 allocated 84 bytes for process 6 from 384 to 511
At time 47 allocated 98 bytes for process 7 from 512 to 639
At time 47 allocated 74 bytes for process 8 from 640 to 767
At time 47 allocated 35 bytes for process 9 from 768 to 831
At time 53 freed 74 bytes for process 8 from 640 to 767
At time 64 freed 64 bytes for process 5 from 320 to 383
At time 74 freed 98 bytes for process 7 from 512 to 639
At time 74 allocated 200 bytes for process 2 from 0 to 255
At time 92 freed 200 bytes for process 2 from 0 to 255
At time 94 freed 35 bytes for process 9 from 768 to 831
At time 111 freed 30 bytes for process 3 from 256 to 287
